"start_lat","start_lng","member_casual","rideable_type","n"
41.6485,-87.54609,"casual","classic_bike",68
41.6485,-87.54609,"casual","docked_bike",8
41.6485,-87.54609,"casual","electric_bike",29
41.6485,-87.54609,"member","classic_bike",22
41.6485,-87.54609,"member","electric_bike",10
41.65,-87.62,"casual","electric_bike",13
41.65,-87.62,"member","electric_bike",2
41.65,-87.6,"casual","electric_bike",14
41.65,-87.6,"member","electric_bike",1
41.65,-87.55,"casual","electric_bike",18
41.65,-87.55,"member","electric_bike",15
41.65,-87.54,"casual","electric_bike",18
41.65,-87.54,"member","electric_bike",19
41.65187,-87.53967,"casual","classic_bike",48
41.65187,-87.53967,"casual","docked_bike",6
41.65187,-87.53967,"casual","electric_bike",40
41.65187,-87.53967,"member","classic_bike",17
41.65187,-87.53967,"member","electric_bike",10
41.65667,-87.5988,"casual","classic_bike",41
41.65667,-87.5988,"casual","docked_bike",3
41.65667,-87.5988,"casual","electric_bike",18
41.65667,-87.5988,"member","classic_bike",4
41.65667,-87.5988,"member","electric_bike",1
41.65841,-87.61071,"casual","classic_bike",43
41.65841,-87.61071,"casual","docked_bike",3
41.65841,-87.61071,"casual","electric_bike",19
41.65841,-87.61071,"member","classic_bike",5
41.65841,-87.61071,"member","electric_bike",2
41.65915,-87.55076,"casual","classic_bike",78
41.65915,-87.55076,"casual","docked_bike",31
41.65915,-87.55076,"casual","electric_bike",58
41.65915,-87.55076,"member","classic_bike",20
41.65915,-87.55076,"member","electric_bike",9
41.66,-87.61,"casual","electric_bike",20
41.66,-87.61,"member","electric_bike",1
41.66,-87.6,"casual","electric_bike",25
41.66,-87.6,"member","electric_bike",1
41.66,-87.55,"casual","electric_bike",37
41.66,-87.55,"member","electric_bike",7
41.66,-87.54,"casual","electric_bike",7
41.66,-87.54,"member","electric_bike",3
41.66631,-87.55722,"casual","classic_bike",52
41.66631,-87.55722,"casual","docked_bike",4
41.66631,-87.55722,"casual","electric_bike",31
41.66631,-87.55722,"member","classic_bike",1
41.66631,-87.55722,"member","electric_bike",6
41.6687,-87.63711,"casual","classic_bike",39
41.6687,-87.63711,"casual","docked_bike",9
41.6687,-87.63711,"casual","electric_bike",98
41.6687,-87.63711,"member","classic_bike",6
41.6687,-87.63711,"member","electric_bike",94
41.67064,-87.62259,"casual","classic_bike",35
41.67064,-87.62259,"casual","docked_bike",3
41.67064,-87.62259,"casual","electric_bike",39
41.67064,-87.62259,"member","classic_bike",1
41.68,-87.68,"casual","electric_bike",50
41.68,-87.68,"member","electric_bike",17
41.68,-87.65,"casual","electric_bike",43
41.68,-87.65,"member","electric_bike",11
41.68,-87.64,"casual","electric_bike",47
41.68,-87.64,"member","electric_bike",76
41.68,-87.63,"casual","electric_bike",31
41.68,-87.63,"member","electric_bike",1
41.68,-87.62,"casual","electric_bike",39
41.68,-87.62,"member","electric_bike",3
41.681,-87.53793,"casual","classic_bike",66
41.681,-87.53793,"casual","docked_bike",4
41.681,-87.53793,"casual","electric_bike",60
41.681,-87.53793,"member","classic_bike",18
41.681,-87.53793,"member","electric_bike",11
41.6846,-87.67071,"casual","classic_bike",31
41.6846,-87.67071,"casual","docked_bike",8
41.6846,-87.67071,"casual","electric_bike",54
41.6846,-87.67071,"member","classic_bike",24
41.6846,-87.67071,"member","electric_bike",68
41.68493,-87.64529,"casual","classic_bike",48
41.68493,-87.64529,"casual","docked_bike",6
41.68493,-87.64529,"casual","electric_bike",65
41.68493,-87.64529,"member","classic_bike",18
41.68493,-87.64529,"member","electric_bike",52
41.68588,-87.57382,"casual","classic_bike",73
41.68588,-87.57382,"casual","docked_bike",59
41.68588,-87.57382,"casual","electric_bike",51
41.68588,-87.57382,"member","classic_bike",42
41.68588,-87.57382,"member","electric_bike",12
41.68701,-87.62105,"casual","classic_bike",21
41.68701,-87.62105,"casual","docked_bike",3
41.68701,-87.62105,"casual","electric_bike",12
41.68701,-87.62105,"member","classic_bike",6
41.68701,-87.62105,"member","electric_bike",6
41.68756,-87.65548,"casual","classic_bike",16
41.68756,-87.65548,"casual","docked_bike",7
41.68756,-87.65548,"casual","electric_bike",65
41.68756,-87.65548,"member","classic_bike",1
41.68756,-87.65548,"member","electric_bike",69
41.69,-87.71,"casual","electric_bike",50
41.69,-87.71,"member","electric_bike",4
41.69,-87.7,"casual","electric_bike",37
41.69,-87.7,"member","electric_bike",31
41.69,-87.69,"casual","electric_bike",59
41.69,-87.69,"member","electric_bike",43
41.69,-87.68,"casual","electric_bike",136
41.69,-87.68,"member","electric_bike",95
41.69,-87.67,"casual","electric_bike",91
41.69,-87.67,"member","electric_bike",224
41.69,-87.65,"casual","electric_bike",89
41.69,-87.65,"member","electric_bike",263
41.69,-87.64,"casual","electric_bike",75
41.69,-87.64,"member","electric_bike",61
41.69,-87.63,"casual","electric_bike",35
41.69,-87.63,"member","electric_bike",26
41.69,-87.62,"casual","electric_bike",42
41.69,-87.62,"member","electric_bike",26
41.69,-87.61,"casual","electric_bike",152
41.69,-87.61,"member","electric_bike",370
41.69,-87.54,"casual","electric_bike",71
41.69,-87.54,"member","electric_bike",4
41.69121,-87.6813,"casual","classic_bike",106
41.69121,-87.6813,"casual","docked_bike",21
41.69121,-87.6813,"casual","electric_bike",119
41.69121,-87.6813,"member","classic_bike",56
41.69121,-87.6813,"member","electric_bike",66
41.69132,-87.71289,"casual","classic_bike",66
41.69132,-87.71289,"casual","docked_bike",30
41.69132,-87.71289,"casual","electric_bike",116
41.69132,-87.71289,"member","classic_bike",12
41.69132,-87.71289,"member","electric_bike",34
41.69171,-87.61,"casual","classic_bike",59
41.69171,-87.61,"casual","docked_bike",7
41.69171,-87.61,"casual","electric_bike",26
41.69171,-87.61,"member","classic_bike",64
41.69171,-87.61,"member","electric_bike",54
41.69177,-87.53043,"casual","classic_bike",221
41.69177,-87.53043,"casual","docked_bike",73
41.69177,-87.53043,"casual","electric_bike",84
41.69177,-87.53043,"member","classic_bike",93
41.69177,-87.53043,"member","electric_bike",31
41.69226,-87.64261,"casual","classic_bike",13
41.69226,-87.64261,"casual","docked_bike",4
41.69226,-87.64261,"casual","electric_bike",48
41.69226,-87.64261,"member","classic_bike",10
41.69226,-87.64261,"member","electric_bike",60
41.69239,-87.70096,"casual","classic_bike",69
41.69239,-87.70096,"casual","docked_bike",4
41.69239,-87.70096,"casual","electric_bike",34
41.69239,-87.70096,"member","classic_bike",15
41.69239,-87.70096,"member","electric_bike",18
41.69501,-87.59871,"casual","classic_bike",46
41.69501,-87.59871,"casual","docked_bike",8
41.69501,-87.59871,"casual","electric_bike",108
41.69501,-87.59871,"member","classic_bike",11
41.69501,-87.59871,"member","electric_bike",28
41.69921,-87.66892,"casual","classic_bike",26
41.69921,-87.66892,"casual","docked_bike",36
41.69921,-87.66892,"casual","electric_bike",189
41.69921,-87.66892,"member","classic_bike",30
41.69921,-87.66892,"member","electric_bike",100
41.7,-87.7,"casual","electric_bike",94
41.7,-87.68,"casual","electric_bike",186
41.7,-87.68,"member","electric_bike",61
41.7,-87.65,"casual","electric_bike",86
41.7,-87.65,"member","electric_bike",56
41.7,-87.64,"casual","electric_bike",54
41.7,-87.64,"member","electric_bike",49
41.7,-87.63,"casual","electric_bike",33
41.7,-87.63,"member","electric_bike",50
41.7,-87.62,"casual","electric_bike",105
41.7,-87.62,"member","electric_bike",21
41.7,-87.61,"casual","electric_bike",68
41.7,-87.61,"member","electric_bike",34
41.7,-87.6,"casual","electric_bike",118
41.7,-87.6,"member","electric_bike",91
41.7,-87.59,"casual","electric_bike",10
41.7,-87.59,"member","electric_bike",8
41.7,-87.56,"casual","electric_bike",15
41.7,-87.56,"member","electric_bike",9
41.7,-87.54,"casual","electric_bike",69
41.7,-87.54,"member","electric_bike",21
41.7,-87.53,"casual","electric_bike",44
41.7,-87.53,"member","electric_bike",17
41.70012,-87.61226,"casual","classic_bike",43
41.70012,-87.61226,"casual","docked_bike",15
41.70012,-87.61226,"casual","electric_bike",34
41.70012,-87.61226,"member","classic_bike",9
41.70012,-87.61226,"member","electric_bike",14
41.7028,-87.55973,"casual","classic_bike",39
41.7028,-87.55973,"casual","docked_bike",6
41.7028,-87.55973,"casual","electric_bike",51
41.7028,-87.55973,"member","classic_bike",27
41.7028,-87.55973,"member","electric_bike",13
41.70458,-87.52823,"casual","classic_bike",86
41.70458,-87.52823,"casual","docked_bike",25
41.70458,-87.52823,"casual","electric_bike",47
41.70458,-87.52823,"member","classic_bike",52
41.70458,-87.52823,"member","electric_bike",15
41.70459,-87.6812,"casual","classic_bike",109
41.70459,-87.6812,"casual","docked_bike",12
