"start_lat","start_lng","member_casual","mean_distance"
41.6485,-87.54609,"casual",1544
41.6485,-87.54609,"member",1725
41.65,-87.62,"casual",1577
41.65,-87.62,"member",2500
41.65,-87.6,"casual",1079
41.65,-87.6,"member",700
41.65,-87.55,"casual",1283
41.65,-87.55,"member",613
41.65,-87.54,"casual",1428
41.65,-87.54,"member",3332
41.65187,-87.53967,"casual",1382
41.65187,-87.53967,"member",1570
41.65667,-87.5988,"casual",977
41.65667,-87.5988,"member",0
41.65841,-87.61071,"casual",978
41.65841,-87.61071,"member",2071
41.65915,-87.55076,"casual",744
41.65915,-87.55076,"member",945
41.66,-87.61,"casual",165
41.66,-87.61,"member",5300
41.66,-87.6,"casual",696
41.66,-87.6,"member",5300
41.66,-87.55,"casual",943
41.66,-87.55,"member",386
41.66,-87.54,"casual",1943
41.66,-87.54,"member",1133
41.66631,-87.55722,"casual",1679
41.66631,-87.55722,"member",2129
41.6687,-87.63711,"casual",1381
41.6687,-87.63711,"member",1974
41.67064,-87.62259,"casual",760
41.67064,-87.62259,"member",0
41.68,-87.68,"casual",2418
41.68,-87.68,"member",906
41.68,-87.65,"casual",1019
41.68,-87.65,"member",1645
41.68,-87.64,"casual",2066
41.68,-87.64,"member",1553
41.68,-87.63,"casual",2800
41.68,-87.63,"member",12900
41.68,-87.62,"casual",1349
41.68,-87.62,"member",1633
41.681,-87.53793,"casual",1959
41.681,-87.53793,"member",2286
41.6846,-87.67071,"casual",1398
41.6846,-87.67071,"member",853
41.68493,-87.64529,"casual",1556
41.68493,-87.64529,"member",1891
41.68588,-87.57382,"casual",134
41.68588,-87.57382,"member",313
41.68701,-87.62105,"casual",2017
41.68701,-87.62105,"member",2858
41.68756,-87.65548,"casual",1644
41.68756,-87.65548,"member",2283
41.69,-87.71,"casual",1484
41.69,-87.71,"member",2500
41.69,-87.7,"casual",1686
41.69,-87.7,"member",2552
41.69,-87.69,"casual",1849
41.69,-87.69,"member",2121
41.69,-87.68,"casual",1818
41.69,-87.68,"member",1843
41.69,-87.67,"casual",1805
41.69,-87.67,"member",1510
41.69,-87.65,"casual",2103
41.69,-87.65,"member",1305
41.69,-87.64,"casual",2381
41.69,-87.64,"member",4807
41.69,-87.63,"casual",1789
41.69,-87.63,"member",3081
41.69,-87.62,"casual",2198
41.69,-87.62,"member",2327
41.69,-87.61,"casual",2095
41.69,-87.61,"member",2055
41.69,-87.54,"casual",932
41.69,-87.54,"member",2225
41.69121,-87.6813,"casual",1589
41.69121,-87.6813,"member",1656
41.69132,-87.71289,"casual",1459
41.69132,-87.71289,"member",5552
41.69171,-87.61,"casual",1437
41.69171,-87.61,"member",1974
41.69177,-87.53043,"casual",688
41.69177,-87.53043,"member",2417
41.69226,-87.64261,"casual",1972
41.69226,-87.64261,"member",1183
41.69239,-87.70096,"casual",1403
41.69239,-87.70096,"member",2752
41.69501,-87.59871,"casual",2023
41.69501,-87.59871,"member",1367
41.69921,-87.66892,"casual",1559
41.69921,-87.66892,"member",1403
41.7,-87.7,"casual",1920
41.7,-87.68,"casual",1298
41.7,-87.68,"member",1316
41.7,-87.65,"casual",2079
41.7,-87.65,"member",3673
41.7,-87.64,"casual",2670
41.7,-87.64,"member",3229
41.7,-87.63,"casual",1255
41.7,-87.63,"member",2380
41.7,-87.62,"casual",2298
41.7,-87.62,"member",1819
41.7,-87.61,"casual",1450
41.7,-87.61,"member",2350
41.7,-87.6,"casual",2485
41.7,-87.6,"member",1893
41.7,-87.59,"casual",3720
41.7,-87.59,"member",3125
41.7,-87.56,"casual",2180
41.7,-87.56,"member",2611
41.7,-87.54,"casual",1603
41.7,-87.54,"member",1543
41.7,-87.53,"casual",1507
41.7,-87.53,"member",2259
41.70012,-87.61226,"casual",776
41.70012,-87.61226,"member",1639
41.7028,-87.55973,"casual",2179
41.7028,-87.55973,"member",1520
41.70458,-87.52823,"casual",1403
41.70458,-87.52823,"member",2543
41.70459,-87.6812,"casual",1237
41.70459,-87.6812,"member",1543
41.70493,-87.65687,"casual",2241
41.70493,-87.65687,"member",2022
41.70514,-87.64242,"casual",2419
41.70514,-87.64242,"member",3186
41.70531,-87.62922,"casual",1345
41.70531,-87.62922,"member",3057
41.70717,-87.61847,"casual",1609
41.70717,-87.61847,"member",1939
41.70725,-87.60766,"casual",1562
41.70725,-87.60766,"member",1058
41.70958,-87.59023,"casual",2333
41.70958,-87.59023,"member",2678
41.71,-87.72,"casual",2369
41.71,-87.72,"member",1810
41.71,-87.7,"casual",1588
41.71,-87.7,"member",2229
41.71,-87.68,"casual",1360
41.71,-87.68,"member",1304
41.71,-87.67,"casual",1343
41.71,-87.67,"member",1743
41.71,-87.65,"casual",1685
41.71,-87.65,"member",2388
41.71,-87.64,"casual",1518
41.71,-87.64,"member",3035
41.71,-87.63,"casual",1895
41.71,-87.63,"member",3300
41.71,-87.62,"casual",1705
41.71,-87.62,"member",2773
41.71,-87.61,"casual",1536
41.71,-87.61,"member",2152
41.71,-87.6,"casual",1591
41.71,-87.6,"member",611
41.71,-87.59,"casual",2690
41.71,-87.59,"member",2361
41.71,-87.58,"casual",4340
41.71,-87.58,"member",1067
41.71,-87.56,"casual",1845
41.71,-87.56,"member",1690
41.71,-87.54,"casual",1889
41.71,-87.54,"member",3350
41.71,-87.53,"casual",564
41.71,-87.53,"member",2041
41.71216,-87.66773,"casual",992
41.71216,-87.66773,"member",1174
41.71275,-87.53481,"casual",17203
41.71275,-87.53481,"member",19007
41.71332,-87.5511,"casual",1360
41.71332,-87.5511,"member",1761
41.7134,-87.56584,"casual",1645
41.7134,-87.56584,"member",1705
41.71371,-87.53084,"casual",771
41.71371,-87.53084,"member",2805
41.71788,-87.56459,"casual",774
41.71788,-87.56459,"member",1962
41.7187,-87.59704,"casual",1611
41.7187,-87.59704,"member",2068
41.71896,-87.6083,"casual",953
41.71896,-87.6083,"member",1067
41.71971,-87.64302,"casual",2019
41.71971,-87.64302,"member",1838
41.72,-87.68,"casual",2553
41.72,-87.68,"member",2431
41.72,-87.67,"casual",1739
41.72,-87.67,"member",1345
41.72,-87.65,"casual",1893
41.72,-87.65,"member",2633
41.72,-87.64,"casual",1602
41.72,-87.64,"member",2161
41.72,-87.62,"casual",2614
41.72,-87.62,"member",2424
41.72,-87.6,"casual",1628
41.72,-87.6,"member",1782
41.72,-87.59,"casual",1400
41.72,-87.58,"casual",2396
41.72,-87.58,"member",1828
41.72,-87.57,"casual",1511
41.72,-87.57,"member",2243
41.72,-87.54,"casual",1784
41.72,-87.54,"member",5733
41.72185,-87.62285,"casual",2569
41.72185,-87.62285,"member",2244
41.72229,-87.57897,"casual",2388
41.72229,-87.57897,"member",1867
41.72617,-87.56628,"casual",1500
41.72617,-87.56628,"member",1598
41.7268,-87.65429,"casual",1957
41.7268,-87.65429,"member",3864
41.72758,-87.63483,"casual",1655
41.72758,-87.63483,"member",2325
41.7282,-87.5497,"casual",1964
41.7282,-87.5497,"member",3242
41.72823,-87.66752,"casual",825
41.72823,-87.66752,"member",2024
41.72826,-87.5973,"casual",707
41.72826,-87.5973,"member",410
41.72929,-87.61103,"casual",837
41.72929,-87.61103,"member",1815
41.73,-87.68,"casual",2710
41.73,-87.68,"member",2300
41.73,-87.66,"casual",2391
41.73,-87.66,"member",2556
41.73,-87.65,"casual",2308
41.73,-87.65,"member",3719
41.73,-87.61,"casual",1711
41.73,-87.61,"member",1775
41.73,-87.6,"casual",1165
41.73,-87.6,"member",4000
41.73,-87.56,"casual",1103
41.73,-87.56,"member",1433
41.73,-87.55,"casual",1686
41.73,-87.55,"member",1330
41.73,-87.54,"casual",1755
41.73,-87.54,"member",4089
41.73139,-87.58574,"casual",2217
41.73139,-87.58574,"member",2468
41.73238,-87.65807,"casual",1638
41.73238,-87.65807,"member",3791
41.73367,-87.55834,"casual",2341
41.73367,-87.55834,"member",1393
41.73656,-87.60126,"casual",1740
41.73656,-87.60126,"member",3635
41.73665,-87.62263,"casual",2084
41.73665,-87.62263,"member",1755
41.73682,-87.5828,"casual",1748
41.73682,-87.5828,"member",2107
41.73715,-87.57274,"casual",1842
41.73715,-87.57274,"member",1859
41.73734,-87.54851,"casual",2247
41.73734,-87.54851,"member",3428
41.73785,-87.6449,"casual",1734
41.73785,-87.6449,"member",1735
41.74,-87.67,"casual",1259
41.74,-87.67,"member",950
41.74,-87.66,"casual",2383
41.74,-87.66,"member",5065
41.74,-87.65,"casual",2737
41.74,-87.65,"member",3687
41.74,-87.63,"casual",2092
41.74,-87.63,"member",2200
41.74,-87.61,"casual",2878
41.74,-87.61,"member",1800
41.74,-87.6,"casual",2051
41.74,-87.6,"member",1625
41.74,-87.59,"casual",1158
41.74,-87.59,"member",2597
41.74,-87.58,"casual",1494
41.74,-87.58,"member",2612
41.74,-87.57,"casual",1078
41.74,-87.57,"member",3300
41.74,-87.56,"casual",1740
41.74,-87.56,"member",1712
41.74,-87.55,"casual",2339
41.74,-87.55,"member",3250
41.74,-87.54,"casual",1625
41.74,-87.54,"member",3700
41.74,-87.53,"casual",495
41.74,-87.53,"member",3623
41.74149,-87.65841,"casual",1242
41.74149,-87.65841,"member",3567
41.74312,-87.6148,"casual",2161
