"start_lat","start_lng","member_casual","mean_duration"
41.6485,-87.54609,"casual",15
41.6485,-87.54609,"member",17
41.65,-87.62,"casual",31
41.65,-87.62,"member",14
41.65,-87.6,"casual",31
41.65,-87.6,"member",23
41.65,-87.55,"casual",9
41.65,-87.55,"member",15
41.65,-87.54,"casual",18
41.65,-87.54,"member",25
41.65187,-87.53967,"casual",20
41.65187,-87.53967,"member",26
41.65667,-87.5988,"casual",38
41.65667,-87.5988,"member",38
41.65841,-87.61071,"casual",33
41.65841,-87.61071,"member",41
41.65915,-87.55076,"casual",23
41.65915,-87.55076,"member",15
41.66,-87.61,"casual",47
41.66,-87.61,"member",24
41.66,-87.6,"casual",47
41.66,-87.6,"member",27
41.66,-87.55,"casual",12
41.66,-87.55,"member",13
41.66,-87.54,"casual",19
41.66,-87.54,"member",4
41.66631,-87.55722,"casual",21
41.66631,-87.55722,"member",18
41.6687,-87.63711,"casual",34
41.6687,-87.63711,"member",16
41.67064,-87.62259,"casual",35
41.67064,-87.62259,"member",16
41.68,-87.68,"casual",16
41.68,-87.68,"member",22
41.68,-87.65,"casual",18
41.68,-87.65,"member",13
41.68,-87.64,"casual",15
41.68,-87.64,"member",13
41.68,-87.63,"casual",15
41.68,-87.63,"member",43
41.68,-87.62,"casual",17
41.68,-87.62,"member",28
41.681,-87.53793,"casual",21
41.681,-87.53793,"member",19
41.6846,-87.67071,"casual",20
41.6846,-87.67071,"member",21
41.68493,-87.64529,"casual",25
41.68493,-87.64529,"member",16
41.68588,-87.57382,"casual",42
41.68588,-87.57382,"member",32
41.68701,-87.62105,"casual",26
41.68701,-87.62105,"member",14
41.68756,-87.65548,"casual",20
41.68756,-87.65548,"member",19
41.69,-87.71,"casual",13
41.69,-87.71,"member",19
41.69,-87.7,"casual",15
41.69,-87.7,"member",14
41.69,-87.69,"casual",11
41.69,-87.69,"member",10
41.69,-87.68,"casual",14
41.69,-87.68,"member",10
41.69,-87.67,"casual",12
41.69,-87.67,"member",10
41.69,-87.65,"casual",14
41.69,-87.65,"member",12
41.69,-87.64,"casual",16
41.69,-87.64,"member",30
41.69,-87.63,"casual",17
41.69,-87.63,"member",17
41.69,-87.62,"casual",19
41.69,-87.62,"member",17
41.69,-87.61,"casual",16
41.69,-87.61,"member",10
41.69,-87.54,"casual",17
41.69,-87.54,"member",10
41.69121,-87.6813,"casual",21
41.69121,-87.6813,"member",19
41.69132,-87.71289,"casual",23
41.69132,-87.71289,"member",29
41.69171,-87.61,"casual",21
41.69171,-87.61,"member",18
41.69177,-87.53043,"casual",38
41.69177,-87.53043,"member",29
41.69226,-87.64261,"casual",16
41.69226,-87.64261,"member",10
41.69239,-87.70096,"casual",17
41.69239,-87.70096,"member",19
41.69501,-87.59871,"casual",17
41.69501,-87.59871,"member",9
41.69921,-87.66892,"casual",17
41.69921,-87.66892,"member",10
41.7,-87.7,"casual",16
41.7,-87.68,"casual",10
41.7,-87.68,"member",8
41.7,-87.65,"casual",14
41.7,-87.65,"member",22
41.7,-87.64,"casual",13
41.7,-87.64,"member",15
41.7,-87.63,"casual",18
41.7,-87.63,"member",18
41.7,-87.62,"casual",16
41.7,-87.62,"member",14
41.7,-87.61,"casual",20
41.7,-87.61,"member",12
41.7,-87.6,"casual",15
41.7,-87.6,"member",12
41.7,-87.59,"casual",19
41.7,-87.59,"member",12
41.7,-87.56,"casual",26
41.7,-87.56,"member",14
41.7,-87.54,"casual",16
41.7,-87.54,"member",15
41.7,-87.53,"casual",15
41.7,-87.53,"member",20
41.70012,-87.61226,"casual",30
41.70012,-87.61226,"member",15
41.7028,-87.55973,"casual",22
41.7028,-87.55973,"member",27
41.70458,-87.52823,"casual",32
41.70458,-87.52823,"member",19
41.70459,-87.6812,"casual",17
41.70459,-87.6812,"member",12
41.70493,-87.65687,"casual",18
41.70493,-87.65687,"member",9
41.70514,-87.64242,"casual",15
41.70514,-87.64242,"member",19
41.70531,-87.62922,"casual",24
41.70531,-87.62922,"member",26
41.70717,-87.61847,"casual",13
41.70717,-87.61847,"member",13
41.70725,-87.60766,"casual",21
41.70725,-87.60766,"member",11
41.70958,-87.59023,"casual",19
41.70958,-87.59023,"member",14
41.71,-87.72,"casual",19
41.71,-87.72,"member",13
41.71,-87.7,"casual",16
41.71,-87.7,"member",12
41.71,-87.68,"casual",11
41.71,-87.68,"member",11
41.71,-87.67,"casual",12
41.71,-87.67,"member",8
41.71,-87.65,"casual",18
41.71,-87.65,"member",18
41.71,-87.64,"casual",10
41.71,-87.64,"member",19
41.71,-87.63,"casual",15
41.71,-87.63,"member",49
41.71,-87.62,"casual",11
41.71,-87.62,"member",21
41.71,-87.61,"casual",12
41.71,-87.61,"member",9
41.71,-87.6,"casual",14
41.71,-87.6,"member",15
41.71,-87.59,"casual",11
41.71,-87.59,"member",12
41.71,-87.58,"casual",29
41.71,-87.58,"member",9
41.71,-87.56,"casual",16
41.71,-87.56,"member",18
41.71,-87.54,"casual",21
41.71,-87.54,"member",16
41.71,-87.53,"casual",16
41.71,-87.53,"member",20
41.71216,-87.66773,"casual",20
41.71216,-87.66773,"member",18
41.71275,-87.53481,"casual",9
41.71275,-87.53481,"member",7
41.71332,-87.5511,"casual",23
41.71332,-87.5511,"member",24
41.7134,-87.56584,"casual",21
41.7134,-87.56584,"member",20
41.71371,-87.53084,"casual",31
41.71371,-87.53084,"member",29
41.71788,-87.56459,"casual",36
41.71788,-87.56459,"member",23
41.7187,-87.59704,"casual",20
41.7187,-87.59704,"member",12
41.71896,-87.6083,"casual",14
41.71896,-87.6083,"member",13
41.71971,-87.64302,"casual",28
41.71971,-87.64302,"member",11
41.72,-87.68,"casual",15
41.72,-87.68,"member",15
41.72,-87.67,"casual",15
41.72,-87.67,"member",11
41.72,-87.65,"casual",19
41.72,-87.65,"member",11
41.72,-87.64,"casual",13
41.72,-87.64,"member",14
41.72,-87.62,"casual",15
41.72,-87.62,"member",13
41.72,-87.6,"casual",12
41.72,-87.6,"member",14
41.72,-87.59,"casual",19
41.72,-87.58,"casual",14
41.72,-87.58,"member",23
41.72,-87.57,"casual",15
41.72,-87.57,"member",26
41.72,-87.54,"casual",13
41.72,-87.54,"member",31
41.72185,-87.62285,"casual",17
41.72185,-87.62285,"member",12
41.72229,-87.57897,"casual",20
41.72229,-87.57897,"member",24
41.72617,-87.56628,"casual",31
41.72617,-87.56628,"member",15
41.7268,-87.65429,"casual",25
41.7268,-87.65429,"member",19
41.72758,-87.63483,"casual",19
41.72758,-87.63483,"member",16
41.7282,-87.5497,"casual",22
41.7282,-87.5497,"member",25
41.72823,-87.66752,"casual",23
41.72823,-87.66752,"member",20
41.72826,-87.5973,"casual",25
41.72826,-87.5973,"member",23
41.72929,-87.61103,"casual",24
41.72929,-87.61103,"member",21
41.73,-87.68,"casual",14
41.73,-87.68,"member",16
41.73,-87.66,"casual",18
41.73,-87.66,"member",14
41.73,-87.65,"casual",16
41.73,-87.65,"member",19
41.73,-87.61,"casual",22
41.73,-87.61,"member",17
41.73,-87.6,"casual",15
41.73,-87.6,"member",21
41.73,-87.56,"casual",15
41.73,-87.56,"member",16
41.73,-87.55,"casual",12
41.73,-87.55,"member",15
41.73,-87.54,"casual",24
41.73,-87.54,"member",17
41.73139,-87.58574,"casual",19
41.73139,-87.58574,"member",15
41.73238,-87.65807,"casual",23
41.73238,-87.65807,"member",18
41.73367,-87.55834,"casual",24
41.73367,-87.55834,"member",20
41.73656,-87.60126,"casual",20
41.73656,-87.60126,"member",22
41.73665,-87.62263,"casual",16
41.73665,-87.62263,"member",17
41.73682,-87.5828,"casual",18
41.73682,-87.5828,"member",20
41.73715,-87.57274,"casual",18
41.73715,-87.57274,"member",22
41.73734,-87.54851,"casual",28
41.73734,-87.54851,"member",21
41.73785,-87.6449,"casual",23
41.73785,-87.6449,"member",20
41.74,-87.67,"casual",18
41.74,-87.67,"member",14
41.74,-87.66,"casual",14
41.74,-87.66,"member",20
41.74,-87.65,"casual",14
41.74,-87.65,"member",15
41.74,-87.63,"casual",17
41.74,-87.63,"member",14
41.74,-87.61,"casual",21
41.74,-87.61,"member",13
41.74,-87.6,"casual",15
41.74,-87.6,"member",11
41.74,-87.59,"casual",13
41.74,-87.59,"member",23
41.74,-87.58,"casual",19
41.74,-87.58,"member",20
41.74,-87.57,"casual",16
41.74,-87.57,"member",16
41.74,-87.56,"casual",13
41.74,-87.56,"member",18
41.74,-87.55,"casual",15
41.74,-87.55,"member",19
41.74,-87.54,"casual",16
41.74,-87.54,"member",14
41.74,-87.53,"casual",22
41.74,-87.53,"member",20
41.74149,-87.65841,"casual",35
41.74149,-87.65841,"member",21
41.74312,-87.6148,"casual",17
41.74312,-87.6148,"member",17
41.74332,-87.62285,"casual",13
41.74332,-87.62285,"member",19
41.74344,-87.60484,"casual",18
41.74344,-87.60484,"member",16
41.74372,-87.63409,"casual",20
41.74372,-87.63409,"member",22
41.74392,-87.57522,"casual",20
41.74392,-87.57522,"member",18
41.74412,-87.59903,"casual",15
41.74412,-87.59903,"member",17
41.74453,-87.56506,"casual",18
41.74453,-87.56506,"member",18
41.74462,-87.55121,"casual",22
41.74462,-87.55121,"member",18
41.74656,-87.586,"casual",32
41.74656,-87.586,"member",16
41.74736,-87.58005,"casual",14
41.74736,-87.58005,"member",15
41.75,-87.68,"casual",25
41.75,-87.68,"member",23
41.75,-87.67,"casual",24
41.75,-87.67,"member",20
41.75,-87.66,"casual",26
41.75,-87.66,"member",24
